Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,3,B,"Jirí Pokorný (TCH, 14 Oct 1956)",Czechoslovakia,,23-294,
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,3,B,"Igor Sláma (TCH, 08 May 1959)",Czechoslovakia,,21-087,
26-Jul-1980,Cycling - Track Sprint Men - Olympic Games 1980,3,B,"Sergey Kopylov (RUS, 29 Jul 1960)",Soviet Union,,19-363,
24-Jul-1980,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1980,3,B,"Hans-Henrik Ørsted (DEN, 13 Dec 1954)",Denmark,,25-224,4:36.540
22-Jul-1980,Cycling - Track 1km Time Trial Men - Olympic Games 1980,3,B,"David Weller (JAM, 11 Feb 1957)",Jamaica,,23-162,1:05.241
24-Jul-1976,Cycling - Track Sprint Men - Olympic Games 1976,3,B,"Tutti Geschke (GER, 07 Jul 1943)",East Germany,,33-017,
24-Jul-1976,Cycling - Track Team Pursuit Men - Olympic Games 1976,3,B,Great Britain,Great Britain,,23-335,4:22.41
24-Jul-1976,Cycling - Track Team Pursuit Men - Olympic Games 1976,3,B,"Ian Banbury (ENG, 27 Nov 1957)",Great Britain,,18-240,
24-Jul-1976,Cycling - Track Team Pursuit Men - Olympic Games 1976,3,B,"Michael Bennett (ENG, 08 Jun 1949)",Great Britain,,27-046,
24-Jul-1976,Cycling - Track Team Pursuit Men - Olympic Games 1976,3,B,"Robin Croker (ENG, 10 May 1954)",Great Britain,,22-075,
24-Jul-1976,Cycling - Track Team Pursuit Men - Olympic Games 1976,3,B,"Ian Hallam (ENG, 24 Nov 1948)",Great Britain,,27-243,
22-Jul-1976,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1976,3,B,"Thomas Huschke (GER, 29 Dec 1947)",East Germany,,28-206,4:52.71
20-Jul-1976,Cycling - Track 1km Time Trial Men - Olympic Games 1976,3,B,"Niels-Christian Fredborg (DEN, 28 Oct 1946)",Denmark,,29-266,1:07.617
02-Sep-1972,Cycling - Track Sprint Men - Olympic Games 1972,3,B,"Omar Pkhakadze (GEO, 12 Aug 1944)",Soviet Union,,28-021,
02-Sep-1972,Cycling - Track Tandem Men - Olympic Games 1972,3,B,Bek / Kocot,Poland,,19-290,
02-Sep-1972,Cycling - Track Tandem Men - Olympic Games 1972,3,B,"Andrzej Bek (POL, 26 Jun 1951)",Poland,,21-068,
02-Sep-1972,Cycling - Track Tandem Men - Olympic Games 1972,3,B,"Benedykt Kocot (POL, 11 Apr 1954)",Poland,,18-144,
02-Sep-1972,Cycling - Track Team Pursuit Men - Olympic Games 1972,3,B,Great Britain,Great Britain,,24-280,
02-Sep-1972,Cycling - Track Team Pursuit Men - Olympic Games 1972,3,B,"Ronald Keeble (GBR, 14 Jan 1946)",Great Britain,,26-232,
02-Sep-1972,Cycling - Track Team Pursuit Men - Olympic Games 1972,3,B,"Ian Hallam (ENG, 24 Nov 1948)",Great Britain,,23-283,
02-Sep-1972,Cycling - Track Team Pursuit Men - Olympic Games 1972,3,B,"Michael Bennett (ENG, 08 Jun 1949)",Great Britain,,23-086,
02-Sep-1972,Cycling - Track Team Pursuit Men - Olympic Games 1972,3,B,"William Moore (ENG, 02 Apr 1947)",Great Britain,,25-153,
01-Sep-1972,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1972,3,B,"Hans Lutz (GER, 31 Mar 1949)",West Germany,,23-154,
31-Aug-1972,Cycling - Track 1km Time Trial Men - Olympic Games 1972,3,B,"Jürgen Schütze (GER, 03 Mar 1951)",East Germany,,21-181,1:07.02
27-Oct-1968,Cycling - Track Tandem Men - Olympic Games 1968,3,B,Van Lancker / Goens,Belgium,,20-364,
27-Oct-1968,Cycling - Track Tandem Men - Olympic Games 1968,3,B,"Robert Van Lancker (BEL, 11 Dec 1946)",Belgium,,21-321,
27-Oct-1968,Cycling - Track Tandem Men - Olympic Games 1968,3,B,"Daniel Goens (BEL, 15 Sep 1948)",Belgium,,20-042,
27-Oct-1968,Cycling - Track Team Pursuit Men - Olympic Games 1968,3,B,Italy,Italy,,23-260,4:18.35
27-Oct-1968,Cycling - Track Team Pursuit Men - Olympic Games 1968,3,B,"Lorenzo Bosisio (ITA, 24 Sep 1944)",Italy,,24-033,
27-Oct-1968,Cycling - Track Team Pursuit Men - Olympic Games 1968,3,B,"Luigi Roncaglia (ITA, 10 Jun 1943)",Italy,,25-139,
27-Oct-1968,Cycling - Track Team Pursuit Men - Olympic Games 1968,3,B,"Cipriano Chemello (ITA, 19 Jul 1945)",Italy,,23-100,
27-Oct-1968,Cycling - Track Team Pursuit Men - Olympic Games 1968,3,B,"Giorgio Morbiato (ITA, 30 Jul 1948)",Italy,,20-089,
27-Oct-1968,Cycling - Track Team Pursuit Men - Olympic Games 1968,3,B,"Gino Pancino (ITA, 11 Apr 1943)",Italy,,25-199,
19-Oct-1968,Cycling - Track Sprint Men - Olympic Games 1968,3,B,"Pierre Trentin (FRA, 15 May 1944)",France,,24-157,
18-Oct-1968,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1968,3,B,"Xaver Kurmann (SUI, 29 Aug 1948)",Switzerland,,20-050,4:39.42
17-Oct-1968,Cycling - Track 1km Time Trial Men - Olympic Games 1968,3,B,"Janusz Kierzkowski (POL, 26 Feb 1947)",Poland,,21-234,1:04.63
24-Oct-1964,Cycling - Track Tandem Men - Olympic Games 1964,3,B,Fuggerer / Kobusch,Unified Team of Germany,,23-133,
24-Oct-1964,Cycling - Track Tandem Men - Olympic Games 1964,3,B,"Willi Fuggerer (GER, 11 Sep 1941)",Unified Team of Germany,,23-043,
24-Oct-1964,Cycling - Track Tandem Men - Olympic Games 1964,3,B,"Klaus Kobusch (GER, 15 Mar 1941)",Unified Team of Germany,,23-223,
19-Oct-1964,Cycling - Track Team Pursuit Men - Olympic Games 1964,3,B,Netherlands,Netherlands,,24-141,4:38.99
19-Oct-1964,Cycling - Track Team Pursuit Men - Olympic Games 1964,3,B,"Cor Schuuring (NED, 30 Mar 1942)",Netherlands,,22-203,4:38.99
19-Oct-1964,Cycling - Track Team Pursuit Men - Olympic Games 1964,3,B,"Gerard Koel (NED, 16 Jan 1941)",Netherlands,,23-277,4:38.99
19-Oct-1964,Cycling - Track Team Pursuit Men - Olympic Games 1964,3,B,"Henk Cornelisse (NED, 16 Oct 1940)",Netherlands,,24-003,4:38.99
19-Oct-1964,Cycling - Track Team Pursuit Men - Olympic Games 1964,3,B,"Jaap Oudkerk (NED, 02 Aug 1937)",Netherlands,,27-078,4:38.99
18-Oct-1964,Cycling - Track Sprint Men - Olympic Games 1964,3,B,"Daniël Morelon (FRA, 24 Jul 1944)",France,,20-086,
17-Oct-1964,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1964,3,B,"Preben Isaksson (DEN, 22 Jan 1943)",Denmark,,21-269,5:01.90
16-Oct-1964,Cycling - Track 1km Time Trial Men - Olympic Games 1964,3,B,"Pierre Trentin (FRA, 15 May 1944)",France,,20-154,1:10.42
11-Sep-1960,Cycling - Track Sprint Men - Olympic Games 1960,3,B,"Valentino Gasparella (ITA, 30 Jun 1935)",Italy,,25-073,
11-Sep-1960,Cycling - Track Team Pursuit Men - Olympic Games 1960,3,B,Soviet Union,Soviet Union,,22-290,4:34.05
11-Sep-1960,Cycling - Track Team Pursuit Men - Olympic Games 1960,3,B,"Arnold Belgardt (RUS, 29 Jan 1937)",Soviet Union,,23-226,
11-Sep-1960,Cycling - Track Team Pursuit Men - Olympic Games 1960,3,B,"Leonid Kolumbet (UKR, 14 Oct 1937)",Soviet Union,,22-333,
11-Sep-1960,Cycling - Track Team Pursuit Men - Olympic Games 1960,3,B,"Stanislav Moskvin (RUS, 19 Jan 1939)",Soviet Union,,21-236,
11-Sep-1960,Cycling - Track Team Pursuit Men - Olympic Games 1960,3,B,"Viktor Romanov (RUS, 15 Sep 1937)",Soviet Union,,22-362,
27-Aug-1960,Cycling - Track Tandem Men - Olympic Games 1960,3,B,Leonov / Vasilyev,Soviet Union,,23-175,
27-Aug-1960,Cycling - Track Tandem Men - Olympic Games 1960,3,B,"Vladimir Leonov (RUS, 25 Apr 1937)",Soviet Union,,23-124,
27-Aug-1960,Cycling - Track Tandem Men - Olympic Games 1960,3,B,"Boris Vasilyev (RUS, 13 Jan 1937)",Soviet Union,,23-227,
26-Aug-1960,Cycling - Track 1km Time Trial Men - Olympic Games 1960,3,B,"Rostislav Vargashkin (RUS, 02 Jun 1933)",Soviet Union,,27-085,1:08.86
06-Dec-1956,Cycling - Track 1km Time Trial Men - Olympic Games 1956,3,B,"Alfred Swift (RSA, 25 Jun 1931)",South Africa,,25-164,1:11.6
06-Dec-1956,Cycling - Track Sprint Men - Olympic Games 1956,3,B,"Richard Ploog (AUS, 1936)",Australia,,,
06-Dec-1956,Cycling - Track Tandem Men - Olympic Games 1956,3,B,Ogna / Pinarello,Italy,,23-229,
06-Dec-1956,Cycling - Track Tandem Men - Olympic Games 1956,3,B,"Giuseppe Ogna (ITA, 05 Nov 1933)",Italy,,23-031,
06-Dec-1956,Cycling - Track Tandem Men - Olympic Games 1956,3,B,"Cesare Pinarello (ITA, 05 Oct 1932)",Italy,,24-062,
04-Dec-1956,Cycling - Track Team Pursuit Men - Olympic Games 1956,3,B,Great Britain,Great Britain,,21-038,4:42.2
04-Dec-1956,Cycling - Track Team Pursuit Men - Olympic Games 1956,3,B,"Michael Gambrill (ENG, 23 Aug 1935)",Great Britain,,21-103,
04-Dec-1956,Cycling - Track Team Pursuit Men - Olympic Games 1956,3,B,"Tommy Simpson (ENG, 30 Nov 1937)",Great Britain,,19-004,
04-Dec-1956,Cycling - Track Team Pursuit Men - Olympic Games 1956,3,B,"John Geddes (ENG, 13 Aug 1936)",Great Britain,,20-113,
04-Dec-1956,Cycling - Track Team Pursuit Men - Olympic Games 1956,3,B,"Donald Burgess (GBR, 08 Feb 1933)",Great Britain,,23-300,
31-Jul-1952,Cycling - Track 1km Time Trial Men - Olympic Games 1952,3,B,"Raymond Robinson (RSA, 03 Sep 1929)",South Africa,,22-332,1:13.0
31-Jul-1952,Cycling - Track Sprint Men - Olympic Games 1952,3,B,"Werner Potzernheim (GER, 08 Mar 1927)",Germany,,25-145,
31-Jul-1952,Cycling - Track Tandem Men - Olympic Games 1952,3,B,Maspes / Pinarello,Italy,,20-067,
31-Jul-1952,Cycling - Track Tandem Men - Olympic Games 1952,3,B,"Antonio Maspes (ITA, 14 Jan 1932)",Italy,,20-199,
31-Jul-1952,Cycling - Track Tandem Men - Olympic Games 1952,3,B,"Cesare Pinarello (ITA, 05 Oct 1932)",Italy,,19-300,
29-Jul-1952,Cycling - Track Team Pursuit Men - Olympic Games 1952,3,B,Great Britain,Great Britain,,24-223,4:51.5
29-Jul-1952,Cycling - Track Team Pursuit Men - Olympic Games 1952,3,B,"Donald Burgess (GBR, 08 Feb 1933)",Great Britain,,19-172,
29-Jul-1952,Cycling - Track Team Pursuit Men - Olympic Games 1952,3,B,"George Newberry (GBR, 06 Jun 1917)",Great Britain,,35-053,
29-Jul-1952,Cycling - Track Team Pursuit Men - Olympic Games 1952,3,B,"Alan Newton (GBR, 19 Mar 1931)",Great Britain,,21-132,
29-Jul-1952,Cycling - Track Team Pursuit Men - Olympic Games 1952,3,B,"Ronald Stretton (GBR, 13 Feb 1930)",Great Britain,,22-167,
11-Aug-1948,Cycling - Track 1km Time Trial Men - Olympic Games 1948,3,B,"Tommy Godwin (ENG, 05 Nov 1920)",Great Britain,,27-280,1:15.0
11-Aug-1948,Cycling - Track Tandem Men - Olympic Games 1948,3,B,Dron / Faye,France,,24-192,
11-Aug-1948,Cycling - Track Tandem Men - Olympic Games 1948,3,B,"Gaston Dron (FRA, 15 Mar 1924)",France,,24-149,
11-Aug-1948,Cycling - Track Tandem Men - Olympic Games 1948,3,B,"René Faye (FRA, 20 Dec 1923)",France,,24-235,
09-Aug-1948,Cycling - Track Sprint Men - Olympic Games 1948,3,B,"Axel Schandorff (DEN, 03 Mar 1925)",Denmark,,23-159,
09-Aug-1948,Cycling - Track Team Pursuit Men - Olympic Games 1948,3,B,Great Britain,Great Britain,,24-197,4:55.8
09-Aug-1948,Cycling - Track Team Pursuit Men - Olympic Games 1948,3,B,"Robert Geldard (GBR, 16 Apr 1927)",Great Britain,,21-115,
09-Aug-1948,Cycling - Track Team Pursuit Men - Olympic Games 1948,3,B,"Tommy Godwin (ENG, 05 Nov 1920)",Great Britain,,27-278,
09-Aug-1948,Cycling - Track Team Pursuit Men - Olympic Games 1948,3,B,David Ricketts (ENG),Great Britain,,,
09-Aug-1948,Cycling - Track Team Pursuit Men - Olympic Games 1948,3,B,Wilfred Waters (GBR),Great Britain,,,
08-Aug-1936,Cycling - Track 1km Time Trial Men - Olympic Games 1936,3,B,"Rudolf Karsch (GER, 26 Dec 1913)",Germany,,22-226,1:13.2
08-Aug-1936,Cycling - Track Tandem Men - Olympic Games 1936,3,B,Maton / Georget,France,,20-326,
08-Aug-1936,Cycling - Track Tandem Men - Olympic Games 1936,3,B,"Pierre Georget (FRA, 09 Aug 1917)",France,,18-365,
08-Aug-1936,Cycling - Track Tandem Men - Olympic Games 1936,3,B,"Georges Maton (FRA, 25 Oct 1913)",France,,22-288,
08-Aug-1936,Cycling - Track Team Pursuit Men - Olympic Games 1936,3,B,Great Britain,Great Britain,,23-042,4:53.6
08-Aug-1936,Cycling - Track Team Pursuit Men - Olympic Games 1936,3,B,"Harry Hill (GBR, 08 May 1916)",Great Britain,,20-092,
08-Aug-1936,Cycling - Track Team Pursuit Men - Olympic Games 1936,3,B,"Ernest Johnson (GBR, 18 Nov 1912)",Great Britain,,23-264,
08-Aug-1936,Cycling - Track Team Pursuit Men - Olympic Games 1936,3,B,"Charles King (GBR, 12 Jun 1911)",Great Britain,,25-057,
08-Aug-1936,Cycling - Track Team Pursuit Men - Olympic Games 1936,3,B,"Ernest Mills (ENG, 10 Apr 1913)",Great Britain,,23-120,
07-Aug-1936,Cycling - Track Sprint Men - Olympic Games 1936,3,B,"Louis Chaillot (FRA, 02 Mar 1914)",France,,22-158,
03-Aug-1932,Cycling - Track Sprint Men - Olympic Games 1932,3,B,"Bruno Pellizzari (ITA, 05 Nov 1907)",Italy,,24-272,
03-Aug-1932,Cycling - Track Tandem Men - Olympic Games 1932,3,B,Christensen / Gervin,Denmark,,27-000,
03-Aug-1932,Cycling - Track Tandem Men - Olympic Games 1932,3,B,"Harald Christensen (DEN, 09 Apr 1907)",Denmark,,25-116,
03-Aug-1932,Cycling - Track Tandem Men - Olympic Games 1932,3,B,"Willy Viggo Gervin (DEN, 28 Nov 1903)",Denmark,,28-249,
03-Aug-1932,Cycling - Track Team Pursuit Men - Olympic Games 1932,3,B,Great Britain,Great Britain,,24-102,4:56.0
03-Aug-1932,Cycling - Track Team Pursuit Men - Olympic Games 1932,3,B,"Charles Holland (ENG, 20 Sep 1908)",Great Britain,,23-318,
03-Aug-1932,Cycling - Track Team Pursuit Men - Olympic Games 1932,3,B,"William Harvell (ENG, 25 Sep 1907)",Great Britain,,24-313,
03-Aug-1932,Cycling - Track Team Pursuit Men - Olympic Games 1932,3,B,"Ernest Johnson (GBR, 18 Nov 1912)",Great Britain,,19-259,
03-Aug-1932,Cycling - Track Team Pursuit Men - Olympic Games 1932,3,B,"Frank Southall (GBR, 30 Nov 1903)",Great Britain,,28-247,
01-Aug-1932,Cycling - Track 1km Time Trial Men - Olympic Games 1932,3,B,"Charles Rampelberg (FRA, 11 Oct 1909)",France,,22-295,1:13.4
06-Aug-1928,Cycling - Track Sprint Men - Olympic Games 1928,3,B,"Willy Falck Hansen (DEN, 04 Apr 1906)",Denmark,,22-124,
06-Aug-1928,Cycling - Track Tandem Men - Olympic Games 1928,3,B,Köther / Bernhardt,Germany,,22-314,
06-Aug-1928,Cycling - Track Tandem Men - Olympic Games 1928,3,B,"Hans Bernhardt (GER, 28 Jan 1906)",Germany,,22-191,
06-Aug-1928,Cycling - Track Tandem Men - Olympic Games 1928,3,B,"Karl Köther (GER, 27 May 1905)",Germany,,23-071,
06-Aug-1928,Cycling - Track Team Pursuit Men - Olympic Games 1928,3,B,Great Britain,Great Britain,,28-062,
06-Aug-1928,Cycling - Track Team Pursuit Men - Olympic Games 1928,3,B,"George Southall (GBR, 1908)",Great Britain,,,
06-Aug-1928,Cycling - Track Team Pursuit Men - Olympic Games 1928,3,B,"Harry Wyld (GBR, 05 Jun 1900)",Great Britain,,28-062,
06-Aug-1928,Cycling - Track Team Pursuit Men - Olympic Games 1928,3,B,"Leonard Wyld (GBR, 1906)",Great Britain,,,
06-Aug-1928,Cycling - Track Team Pursuit Men - Olympic Games 1928,3,B,"Percy Wyld (GBR, 1908)",Great Britain,,,
04-Aug-1928,Cycling - Track 1km Time Trial Men - Olympic Games 1928,3,B,"Edgar Laurence Gray (AUS, 17 Jul 1906)",Australia,,22-018,1:15.3
27-Jul-1924,Cycling - Track 50km Race Men - Olympic Games 1924,3,B,"Harry Wyld (GBR, 05 Jun 1900)",Great Britain,,24-052,1:18:24.0
27-Jul-1924,Cycling - Track Sprint Men - Olympic Games 1924,3,B,"Jean Cugnot (FRA, 03 Aug 1899)",France,,24-359,
27-Jul-1924,Cycling - Track Tandem Men - Olympic Games 1924,3,B,Bosch van Drakestein / Peeters,Netherlands,,39-227,12.600
27-Jul-1924,Cycling - Track Tandem Men - Olympic Games 1924,3,B,"Gerard Bosch van Drakestein (NED, 24 Jul 1887)",Netherlands,,37-003,
27-Jul-1924,Cycling - Track Tandem Men - Olympic Games 1924,3,B,"Maurice Peeters (NED, 05 May 1882)",Netherlands,,42-083,
27-Jul-1924,Cycling - Track Team Pursuit Men - Olympic Games 1924,3,B,Belgium,Belgium,,24-186,5:15
27-Jul-1924,Cycling - Track Team Pursuit Men - Olympic Games 1924,3,B,"Fernand Saive (BEL, 24 May 1900)",Belgium,,24-064,5:15
27-Jul-1924,Cycling - Track Team Pursuit Men - Olympic Games 1924,3,B,"Henri Hoevenaars (BEL, 01 Aug 1901)",Belgium,,22-361,5:15
27-Jul-1924,Cycling - Track Team Pursuit Men - Olympic Games 1924,3,B,"Léonard Daghelinckx (BEL, 10 Apr 1900)",Belgium,,24-108,5:15
27-Jul-1924,Cycling - Track Team Pursuit Men - Olympic Games 1924,3,B,"Jean van den Bosch (BEL, 01 Jan 1898)",Belgium,,26-208,5:15
11-Aug-1920,Cycling - Track 50km Race Men - Olympic Games 1920,3,B,"Piet Ikelaar (NED, 02 Jan 1896)",Netherlands,,24-222,1:16:43.2
11-Aug-1920,Cycling - Track Tandem Men - Olympic Games 1920,3,B,Ikelaar / de Vreng,Netherlands,,23-173,
11-Aug-1920,Cycling - Track Tandem Men - Olympic Games 1920,3,B,"Frans de Vreng (NED, 11 Apr 1898)",Netherlands,,22-122,
11-Aug-1920,Cycling - Track Tandem Men - Olympic Games 1920,3,B,"Piet Ikelaar (NED, 02 Jan 1896)",Netherlands,,24-222,
10-Aug-1920,Cycling - Track Sprint Men - Olympic Games 1920,3,B,"Harry Ryan (GBR, 21 Nov 1893)",Great Britain,,26-263,
10-Aug-1920,Cycling - Track Team Pursuit Men - Olympic Games 1920,3,B,South Africa,South Africa,,23-087,5:14.2
10-Aug-1920,Cycling - Track Team Pursuit Men - Olympic Games 1920,3,B,"Herry Goosen (RSA, 1892)",South Africa,,,
10-Aug-1920,Cycling - Track Team Pursuit Men - Olympic Games 1920,3,B,"Henry Kaltenbrun (RSA, 15 May 1897)",South Africa,,23-087,
10-Aug-1920,Cycling - Track Team Pursuit Men - Olympic Games 1920,3,B,"William Smith (RSA, 1893)",South Africa,,,
10-Aug-1920,Cycling - Track Team Pursuit Men - Olympic Games 1920,3,B,"James Walker (RSA, 1897)",South Africa,,,
18-Jul-1908,Cycling - Track 5km Race Men - Olympic Games 1908,3,B,"André Auffray (FRA, 13 May 1884)",France,,24-066,
18-Jul-1908,Cycling - Track 100km Race Men - Olympic Games 1908,3,B,"Octave Lapize (FRA, 24 Oct 1887)",France,,20-268,
17-Jul-1908,Cycling - Track Team Pursuit Men - Olympic Games 1908,3,B,Canada,Canada,,27-160,2:29.6
17-Jul-1908,Cycling - Track Team Pursuit Men - Olympic Games 1908,3,B,William Anderson (CAN),Canada,,,
17-Jul-1908,Cycling - Track Team Pursuit Men - Olympic Games 1908,3,B,"Walter Andrews (CAN, 08 Feb 1881)",Canada,,27-160,
17-Jul-1908,Cycling - Track Team Pursuit Men - Olympic Games 1908,3,B,Frederick McCarthy (CAN),Canada,,,
17-Jul-1908,Cycling - Track Team Pursuit Men - Olympic Games 1908,3,B,William Morton (CAN),Canada,,,
15-Jul-1908,Cycling - Track 1 lap race Men - Olympic Games 1908,3,B,"Karl Neumer (GER, 23 Feb 1887)",Germany,,21-143,
15-Jul-1908,Cycling - Track Tandem Men - Olympic Games 1908,3,B,Brooks / Isaacs,Great Britain,,,
15-Jul-1908,Cycling - Track Tandem Men - Olympic Games 1908,3,B,Colin Brooks (GBR),Great Britain,,,
15-Jul-1908,Cycling - Track Tandem Men - Olympic Games 1908,3,B,Walter Isaacs (GBR),Great Britain,,,
14-Jul-1908,Cycling - Track 20km Race Men - Olympic Games 1908,3,B,"Joseph Weerbrouck (BEL, 10 Jan 1882)",Belgium,,26-186,
05-Aug-1904,Cycling - Track 1 mile Race Men - Olympic Games 1904,3,B,"Edwin Billington (USA, 14 Jul 1882)",United States,,22-022,2:41.6
05-Aug-1904,Cycling - Track 1/3 mile Race Men - Olympic Games 1904,3,B,"Edwin Billington (USA, 14 Jul 1882)",United States,,22-022,43.8
05-Aug-1904,Cycling - Track 5 mile Race Men - Olympic Games 1904,3,B,Arthur F. Andrews (USA),United States,,,
05-Aug-1904,Cycling - Track 25 mile Race Men - Olympic Games 1904,3,B,"George Wiley (USA, 07 May 1881)",United States,,23-090,
03-Aug-1904,Cycling - Track 1/4 mile Race Men - Olympic Games 1904,3,B,"Edwin Billington (USA, 14 Jul 1882)",United States,,22-020,
03-Aug-1904,Cycling - Track 2 mile Race Men - Olympic Games 1904,3,B,"Marcus Hurley (USA, 22 Dec 1883)",United States,,20-225,
02-Aug-1904,Cycling - Track 1/2 mile Race Men - Olympic Games 1904,3,B,"Burton Downing (USA, 05 Feb 1885)",United States,,19-179,
15-Sep-1900,Cycling - Track 25km Race Men - Olympic Games 1900,3,B,Auguste Daumain (FRA),France,,,29:36.2
15-Sep-1900,Cycling - Track Points Race Men - Olympic Games 1900,3,B,"Louis Trousselier (FRA, 29 Jun 1881)",France,,19-078,9
15-Sep-1900,Cycling - Track Sprint Men - Olympic Games 1900,3,B,"John Lake (USA, 27 Jul 1877)",United States,,23-050,
11-Apr-1896,Cycling - Track 1 lap race Men - Olympic Games 1896,3,B,"Adolf Schmal (AUT, 18 Sep 1872)",Austria,,23-206,26.0
11-Apr-1896,Cycling - Track 10km Race Men - Olympic Games 1896,3,B,"Adolf Schmal (AUT, 18 Sep 1872)",Austria,,23-206,
11-Apr-1896,Cycling - Track Sprint Men - Olympic Games 1896,3,B,"Léon Flameng (FRA, 30 Apr 1877)",France,,18-347,
