"","Year","Pinnacle Result","Pinnacle Time","Athlete","worldsFlag","juniorsFlag","pinnacleFlag","teamFlag","Years Out from Games","Discipline"
"143",2015,1,271.966,"Madeleine Park",TRUE,TRUE,TRUE,FALSE,5,"Team Pursuit"
"144",2015,1,NA,"Marc Ryan",TRUE,FALSE,TRUE,FALSE,5,"Team Pursuit"
"145",2014,3,238.989,"Marc Ryan",TRUE,FALSE,TRUE,FALSE,6,"Team Pursuit"
"146",2012,3,NA,"Marc Ryan",FALSE,FALSE,TRUE,FALSE,8,"Team Pursuit"
"147",2014,15,NA,"Matt Archibald",TRUE,FALSE,TRUE,FALSE,6,"Sprint"
"148",2019,2,266.067,"McKenzie Milne",TRUE,TRUE,TRUE,FALSE,1,"Team Pursuit"
"149",2018,2,NA,"McKenzie Milne",TRUE,TRUE,TRUE,FALSE,2,"Team Pursuit"
"150",2014,19,NA,"Michael Culling",TRUE,TRUE,TRUE,FALSE,6,"Keirin"
"151",2014,8,NA,"Michael Culling",TRUE,TRUE,TRUE,FALSE,6,"Team Sprint"
"152",2019,3,256.479,"Michaela Drummond",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"153",2018,13,-60,"Michaela Drummond",TRUE,FALSE,TRUE,FALSE,2,"Madison"
"154",2017,4,15,"Michaela Drummond",TRUE,FALSE,TRUE,FALSE,3,"Madison"
"155",2017,8,76,"Michaela Drummond",TRUE,FALSE,TRUE,FALSE,3,"Omnium"
"156",2017,3,NA,"Michaela Drummond",TRUE,FALSE,TRUE,FALSE,3,"Team Pursuit"
"157",2015,1,271.966,"Michaela Drummond",TRUE,TRUE,TRUE,FALSE,5,"Team Pursuit"
"158",2019,12,NA,"Natasha Hansen",TRUE,FALSE,TRUE,FALSE,1,"Sprint"
"159",2018,13,NA,"Natasha Hansen",TRUE,FALSE,TRUE,FALSE,2,"Keirin"
"160",2018,13,NA,"Natasha Hansen",TRUE,FALSE,TRUE,FALSE,2,"Sprint"
"161",2018,5,33.453,"Natasha Hansen",TRUE,FALSE,TRUE,FALSE,2,"Team Sprint"
"162",2017,9,NA,"Natasha Hansen",TRUE,FALSE,TRUE,FALSE,3,"Sprint"
"163",2016,9,NA,"Natasha Hansen",FALSE,FALSE,TRUE,FALSE,4,"Sprint"
"164",2016,13,NA,"Natasha Hansen",FALSE,FALSE,TRUE,FALSE,4,"Keirin"
"165",2016,9,NA,"Natasha Hansen",FALSE,FALSE,TRUE,FALSE,4,"Team Sprint"
"166",2012,12,NA,"Natasha Hansen",FALSE,FALSE,TRUE,FALSE,8,"Sprint"
"167",2012,10,NA,"Natasha Hansen",FALSE,FALSE,TRUE,FALSE,8,"Keirin"
"168",2019,8,NA,"Nick Kergozou",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"169",2018,5,238.932,"Nick Kergozou",TRUE,FALSE,TRUE,FALSE,2,"Team Pursuit"
"170",2017,2,233.979,"Nick Kergozou",TRUE,FALSE,TRUE,FALSE,3,"Team Pursuit"
"171",2014,6,166,"Nick Kergozou",TRUE,TRUE,TRUE,FALSE,6,"Omnium"
"172",2014,3,NA,"Nick Kergozou",TRUE,TRUE,TRUE,FALSE,6,"Team Pursuit"
