"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"98","Team Pursuit",2,NA,TRUE,FALSE,TRUE,1
"99","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"100","Team Pursuit",2,NA,TRUE,FALSE,TRUE,3
"101","Sprint",3,NA,TRUE,FALSE,TRUE,1
"102","Sprint",3,NA,TRUE,FALSE,TRUE,2
"103","Sprint",2,NA,TRUE,FALSE,TRUE,3
"104","Sprint",1,NA,TRUE,FALSE,FALSE,4
"105","Sprint",1,NA,TRUE,FALSE,TRUE,5
"106","Sprint",1,NA,TRUE,FALSE,TRUE,6
"107","Team Sprint",2,NA,TRUE,FALSE,TRUE,1
"108","Team Sprint",6,NA,TRUE,FALSE,TRUE,3
"109","Team Pursuit",1,NA,TRUE,FALSE,TRUE,1
"110","Team Pursuit",2,NA,TRUE,FALSE,TRUE,2
"111","Team Pursuit",5,NA,TRUE,FALSE,TRUE,3
"112","Team Pursuit",1,203.419,TRUE,FALSE,TRUE,1
"113","Team Sprint",2,32.438,TRUE,FALSE,TRUE,1
"114","Team Sprint",1,34.155,TRUE,TRUE,FALSE,4
"115","Team Sprint",1,44.873,TRUE,TRUE,TRUE,5
"116","Team Sprint",4,NA,TRUE,FALSE,TRUE,1
"117","Team Sprint",1,NA,TRUE,FALSE,FALSE,4
"118","Sprint",2,NA,TRUE,FALSE,TRUE,1
"119","Sprint",3,NA,TRUE,FALSE,TRUE,2
"120","Sprint",2,NA,TRUE,FALSE,TRUE,3
"121","Sprint",5,NA,FALSE,FALSE,TRUE,4
"122","Sprint",30,NA,TRUE,FALSE,FALSE,4
"123","Sprint",21,NA,TRUE,FALSE,TRUE,5
"124","Sprint",22,NA,TRUE,FALSE,TRUE,6
"125","Sprint",25,NA,TRUE,FALSE,TRUE,7
"126","Sprint",18,NA,FALSE,FALSE,TRUE,8
"127","Sprint",37,NA,TRUE,FALSE,FALSE,8
"128","Team Pursuit",2,205.308,TRUE,FALSE,TRUE,1
"129","Team Pursuit",4,204.571,TRUE,FALSE,TRUE,2
"130","Team Pursuit",1,237.468,TRUE,FALSE,TRUE,1
"131","Omnium",1,24,TRUE,FALSE,TRUE,2
"132","Team Sprint",2,NA,TRUE,FALSE,TRUE,1
"133","Team Sprint",1,42.84,TRUE,FALSE,TRUE,2
"134","Team Sprint",2,43.544,TRUE,FALSE,TRUE,3
"135","Team Sprint",5,NA,FALSE,FALSE,TRUE,4
"136","Team Sprint",3,43.812,TRUE,FALSE,FALSE,4
"137","Team Sprint",6,45.032,TRUE,FALSE,TRUE,5
"138","Team Sprint",5,NA,TRUE,FALSE,TRUE,6
"139","Omnium",3,181,TRUE,FALSE,TRUE,1
"140","Omnium",6,34,FALSE,FALSE,TRUE,4
"141","Omnium",25,NA,TRUE,FALSE,FALSE,4
"142","Omnium",7,52,TRUE,FALSE,TRUE,5
"143","Omnium",12,49,TRUE,FALSE,TRUE,6
"144","Team Pursuit",2,256.702,TRUE,FALSE,TRUE,1
"145","Team Pursuit",1,263.407,TRUE,FALSE,TRUE,2
"146","Team Pursuit",1,198.14,TRUE,FALSE,TRUE,3
"147","Team Pursuit",3,NA,TRUE,TRUE,FALSE,4
"148","Keirin",21,NA,TRUE,FALSE,TRUE,1
"149","Keirin",13,NA,TRUE,FALSE,TRUE,2
"150","Keirin",12,NA,TRUE,TRUE,FALSE,4
"151","Sprint",1,NA,TRUE,FALSE,TRUE,1
"152","Sprint",2,NA,TRUE,FALSE,TRUE,2
"153","Sprint",2,NA,TRUE,FALSE,FALSE,4
"154","Team Pursuit",2,NA,TRUE,FALSE,TRUE,1
"155","Team Sprint",2,NA,TRUE,FALSE,TRUE,1
"156","Team Sprint",1,42.84,TRUE,FALSE,TRUE,2
"157","Team Sprint",2,43.544,TRUE,FALSE,TRUE,3
"158","Team Sprint",5,NA,FALSE,FALSE,TRUE,4
"159","Team Sprint",3,43.812,TRUE,FALSE,FALSE,4
"160","Team Sprint",6,45.032,TRUE,FALSE,TRUE,5
"161","Team Sprint",1,60.236,TRUE,TRUE,TRUE,7
"162","Team Sprint",4,NA,TRUE,TRUE,FALSE,8
"163","Madison",5,NA,TRUE,FALSE,TRUE,1
"164","Madison",1,NA,TRUE,FALSE,TRUE,2
"165","Sprint",1,NA,TRUE,FALSE,TRUE,1
"166","Sprint",2,NA,TRUE,FALSE,TRUE,2
"167","Sprint",4,NA,FALSE,FALSE,TRUE,4
