"","Funnel Disciplines","Gender","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"150","K4 500m","Women",1,95.1,TRUE,FALSE,TRUE,1
"151","K4 500m","Women",1,95.42,TRUE,FALSE,TRUE,3
"152","K4 500m","Women",1,105.48,TRUE,FALSE,TRUE,5
"153","K4 500m","Women",1,97.08,TRUE,FALSE,TRUE,6
"154","K4 500m","Women",1,98.87,TRUE,FALSE,TRUE,7
"155","K4 500m","Women",1,102.6,TRUE,FALSE,TRUE,9
"156","C2 500m","Men",7,104.4,TRUE,FALSE,TRUE,1
"157","C2 500m","Men",4,112.41,TRUE,FALSE,TRUE,1
"158","K2 500m","Men",2,92.439,TRUE,FALSE,TRUE,1
"159","K1 500m","Women",10,106.906,TRUE,FALSE,TRUE,1
"160","K1 500m","Women",13,114.73,TRUE,FALSE,TRUE,2
"161","K1 500m","Women",10,114.13,TRUE,FALSE,TRUE,3
"162","K2 500m","Women",1,NA,TRUE,FALSE,TRUE,1
"163","K4 500m","Women",5,94.559,TRUE,FALSE,TRUE,1
"164","K1 500m","Women",2,112.798,TRUE,FALSE,TRUE,1
"165","K1 500m","Women",4,114.744,TRUE,FALSE,TRUE,2
"166","K1 500m","Women",3,114.72,TRUE,FALSE,TRUE,3
"167","K1 500m","Women",7,114.82,FALSE,FALSE,TRUE,4
"168","K1 500m","Women",4,115.15,TRUE,FALSE,TRUE,5
"169","K1 500m","Women",7,119.95,TRUE,FALSE,TRUE,6
"170","K1 500m","Women",7,NA,TRUE,FALSE,TRUE,7
"171","K4 500m","Women",6,99.777,TRUE,FALSE,TRUE,1
"172","K4 500m","Women",6,98.116,FALSE,FALSE,TRUE,4
"173","K4 500m","Women",5,NA,TRUE,FALSE,TRUE,6
"174","C2 1000m","Men",7,232.32,TRUE,FALSE,TRUE,1
"175","C2 1000m","Men",4,221.64,TRUE,FALSE,TRUE,2
"176","C2 1000m","Men",1,217.08,TRUE,FALSE,TRUE,3
"177","C2 1000m","Men",4,234.94,FALSE,FALSE,TRUE,4
"178","C2 1000m","Men",7,231.61,TRUE,FALSE,TRUE,5
"179","C2 500m","Men",3,101.501,TRUE,FALSE,TRUE,1
"180","C2 500m","Men",1,99.851,TRUE,FALSE,TRUE,3
"181","C2 500m","Men",5,100.802,FALSE,FALSE,TRUE,4
"182","C2 500m","Men",7,NA,TRUE,FALSE,TRUE,6
"183","C2 500m","Men",5,119.294,FALSE,FALSE,TRUE,8
"184","C2 500m","Men",8,106.932,TRUE,FALSE,TRUE,9
"185","C2 500m","Men",3,107.409,TRUE,FALSE,TRUE,10
"186","K1 1000m","Men",6,220.2,TRUE,FALSE,TRUE,1
"187","K2 500m","Men",7,92.837,TRUE,FALSE,TRUE,9
"188","K2 500m","Men",3,93.876,TRUE,FALSE,TRUE,10
"189","K4 500m","Women",1,97.145,TRUE,FALSE,TRUE,1
"190","K4 500m","Women",2,91.817,TRUE,FALSE,TRUE,2
"191","K4 500m","Women",1,91.686,TRUE,FALSE,TRUE,3
"192","C2 1000m","Men",1,225.56,TRUE,FALSE,TRUE,1
"193","C2 1000m","Men",5,235.01,TRUE,FALSE,TRUE,3
"194","C2 500m","Men",1,102.741,TRUE,FALSE,TRUE,1
"195","C2 500m","Men",2,108.452,TRUE,FALSE,TRUE,2
"196","C2 500m","Men",1,106.4,TRUE,FALSE,TRUE,3
"197","K2 500m","Men",12,91.99,FALSE,FALSE,TRUE,4
"198","K2 500m","Men",4,93.24,TRUE,FALSE,TRUE,5
"199","C2 500m","Men",1,103.553,TRUE,FALSE,TRUE,1
"200","C2 500m","Men",2,107.161,TRUE,FALSE,TRUE,2
"201","C2 500m","Men",2,109.587,TRUE,FALSE,TRUE,3
"202","K4 500m","Women",7,99.415,TRUE,FALSE,TRUE,1
"203","K1 500m","Women",6,144.1,FALSE,FALSE,TRUE,4
"204","K2 1000m","Men",1,198.11,TRUE,FALSE,TRUE,1
"205","K2 1000m","Men",2,202.772,TRUE,FALSE,TRUE,2
"206","K2 1000m","Men",2,203,TRUE,FALSE,TRUE,3
"207","K2 1000m","Men",5,200.34,FALSE,FALSE,TRUE,4
"208","K2 1000m","Men",6,198.77,TRUE,FALSE,TRUE,6
"209","K2 1000m","Men",5,198.13,TRUE,FALSE,TRUE,7
"210","K2 1000m","Men",7,202.87,TRUE,FALSE,TRUE,10
"211","K2 500m","Men",1,90.561,TRUE,FALSE,TRUE,1
"212","K2 500m","Men",8,95.428,TRUE,FALSE,TRUE,2
"213","K2 500m","Men",5,94.64,TRUE,FALSE,TRUE,3
"214","K2 500m","Men",5,95.85,TRUE,FALSE,TRUE,6
"215","K2 500m","Men",6,93.33,TRUE,FALSE,TRUE,7
"216","K1 500m","Women",2,107.396,TRUE,FALSE,TRUE,1
"217","K2 500m","Women",1,99.865,TRUE,FALSE,TRUE,1
"218","K2 500m","Women",1,100.064,TRUE,FALSE,TRUE,6
"219","K2 500m","Women",1,101.144,TRUE,FALSE,TRUE,7
"220","C1 1000m","Men",2,233.406,TRUE,FALSE,TRUE,1
"221","C1 1000m","Men",1,NA,TRUE,FALSE,TRUE,2
"222","C1 1000m","Men",2,NA,TRUE,FALSE,TRUE,5
"223","C1 1000m","Men",6,279.72,FALSE,FALSE,TRUE,8
"224","K2 500m","Women",3,111.94,TRUE,FALSE,TRUE,2
"225","K2 500m","Women",4,108.03,TRUE,FALSE,TRUE,3
"226","K4 500m","Women",5,100.75,TRUE,FALSE,TRUE,1
"227","K4 500m","Women",4,96.22,TRUE,FALSE,TRUE,2
"228","K4 500m","Women",7,100.89,TRUE,FALSE,TRUE,3
"229","C2 1000m","Men",7,273.06,TRUE,FALSE,TRUE,1
"230","C2 1000m","Men",7,248.15,TRUE,FALSE,TRUE,2
"231","C2 1000m","Men",1,219.228,TRUE,FALSE,TRUE,1
