"","Year","Discipline","Pinnacle Result","Pinnacle Time","Athlete","Gender","worldsFlag","juniorsFlag","pinnacleFlag","teamFlag","Years Out from Games"
"198",2017,"K4 500m",13,108.528,"Olivia Brett","Women",TRUE,TRUE,TRUE,FALSE,3
"199",2019,"K2 500m",19,126.354,"Pieta Luthi","Women",TRUE,TRUE,TRUE,FALSE,1
"200",2019,"K4 500m",19,112.986,"Pieta Luthi","Women",TRUE,TRUE,TRUE,FALSE,1
"201",2018,"K4 500m",11,100.179,"Pieta Luthi","Women",TRUE,TRUE,TRUE,FALSE,2
"202",2019,"K1 1000m",25,229.05,"Quaid Thompson","Men",TRUE,FALSE,TRUE,FALSE,1
"203",2018,"K1 1000m",27,224.256,"Quaid Thompson","Men",TRUE,FALSE,TRUE,FALSE,2
"204",2018,"K1 1000m",4,223.682,"Quaid Thompson","Men",TRUE,FALSE,TRUE,FALSE,2
"205",2017,"K1 1000m",24,242.772,"Quaid Thompson","Men",TRUE,FALSE,TRUE,FALSE,3
"206",2013,"K2 500m",9,112.878,"Rachel Dodwell","Women",TRUE,FALSE,TRUE,FALSE,7
"207",2018,"K1 1000m",12,248.754,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,2
"208",2018,"K2 500m",11,106.744,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,2
"209",2018,"K1 1000m",4,262.905,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,2
"210",2018,"K4 500m",9,101.596,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,2
"211",2017,"K2 500m",10,123.296,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,3
"212",2017,"K4 500m",8,106.644,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,3
"213",2015,"K2 500m",11,112.38,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,5
"214",2015,"K4 500m",9,97.912,"Rebecca Cole","Women",TRUE,FALSE,TRUE,FALSE,5
"215",2013,"K4 500m",6,99.046,"Rebecca Cole","Women",TRUE,TRUE,TRUE,FALSE,7
"216",2019,"K4 500m",18,99.002,"Robson Old","Men",TRUE,TRUE,TRUE,FALSE,1
"217",2019,"K1 1000m",15,236.811,"Sam Ferkins","Men",TRUE,TRUE,TRUE,FALSE,1
"218",2018,"K4 500m",19,88.483,"Sam Ferkins","Men",TRUE,TRUE,TRUE,FALSE,2
"219",2018,"K1 1000m",24,233.05,"Sam Ferkins","Men",TRUE,TRUE,TRUE,FALSE,2
"220",2017,"K1 200m",24,51.368,"Samalulu Clifton","Women",TRUE,TRUE,TRUE,FALSE,3
"221",2017,"K4 500m",13,108.528,"Samalulu Clifton","Women",TRUE,TRUE,TRUE,FALSE,3
"222",2014,"K1 200m",33,35.853,"Scott Bicknell","Men",TRUE,FALSE,TRUE,FALSE,6
"223",2010,"K1 200m",22,36.746,"Scott Bicknell","Men",TRUE,FALSE,TRUE,FALSE,10
"224",2015,"K4 500m",16,105.884,"Shani Clark","Women",TRUE,TRUE,TRUE,FALSE,5
"225",2012,"K2 1000m",7,NA,"Steven Ferguson","Men",FALSE,FALSE,TRUE,FALSE,8
"226",2011,"K1 200m",35,37.207,"Steven Ferguson","Men",TRUE,FALSE,TRUE,FALSE,9
"227",2011,"K2 1000m",10,201.211,"Steven Ferguson","Men",TRUE,FALSE,TRUE,FALSE,9
"228",2010,"K1 500m",13,101.241,"Steven Ferguson","Men",TRUE,FALSE,TRUE,FALSE,10
"229",2010,"K2 1000m",14,201.77,"Steven Ferguson","Men",TRUE,FALSE,TRUE,FALSE,10
"230",2018,"K4 500m",13,81.296,"Taris Harker","Men",TRUE,FALSE,TRUE,FALSE,2
"231",2017,"K4 500m",9,84.508,"Taris Harker","Men",TRUE,FALSE,TRUE,FALSE,3
"232",2017,"K2 1000m",18,238.064,"Taris Harker","Men",TRUE,FALSE,TRUE,FALSE,3
"233",2014,"K1 1000m",1,229.423,"Teneale Hatton","Women",TRUE,FALSE,TRUE,FALSE,6
"234",2014,"K4 500m",14,95.063,"Teneale Hatton","Women",TRUE,FALSE,TRUE,FALSE,6
"235",2013,"K2 500m",9,112.878,"Teneale Hatton","Women",TRUE,FALSE,TRUE,FALSE,7
"236",2012,"K1 500m",15,116.103,"Teneale Hatton","Women",FALSE,FALSE,TRUE,FALSE,8
"237",2011,"K1 500m",19,112.43,"Teneale Hatton","Women",TRUE,FALSE,TRUE,FALSE,9
"238",2010,"K2 500m",9,104.932,"Teneale Hatton","Women",TRUE,FALSE,TRUE,FALSE,10
"239",2010,"K4 500m",11,96.054,"Teneale Hatton","Women",TRUE,FALSE,TRUE,FALSE,10
"240",2015,"K2 500m",22,124.532,"Tess Allen","Women",TRUE,TRUE,TRUE,FALSE,5
"241",2015,"K2 1000m",23,NA,"Thomas Cole","Men",TRUE,TRUE,TRUE,FALSE,5
"242",2019,"K1 500m",31,135.761,"Tilly Pritchard","Women",TRUE,TRUE,TRUE,FALSE,1
"243",2019,"K4 500m",19,112.986,"Tilly Pritchard","Women",TRUE,TRUE,TRUE,FALSE,1
"244",2015,"K1 1000m",11,224.4,"Tobias Brooke","Men",TRUE,TRUE,TRUE,FALSE,5
"245",2010,"K2 1000m",14,201.77,"Troy Burbridge","Men",TRUE,FALSE,TRUE,FALSE,10
"246",2014,"K2 1000m",18,201.162,"Zac Quickenden","Men",TRUE,FALSE,TRUE,FALSE,6
"247",2013,"K2 1000m",9,198.088,"Zac Quickenden","Men",TRUE,FALSE,TRUE,FALSE,7
"248",2011,"K2 500m",30,103.09,"Zac Quickenden","Men",TRUE,TRUE,TRUE,FALSE,9
"249",2019,"K4 500m",16,90.919,"Zach Ferkins","Men",TRUE,FALSE,TRUE,FALSE,1
"250",2015,"K2 1000m",25,205.24,"Zachary Franich","Men",TRUE,FALSE,TRUE,FALSE,5
